token,display_token,position,importance_score
.,.,22,0.17395251106832363
▁aircraft,▁aircraft,21,0.12064899686716624
▁speed,▁speed,20,0.08686208455434677
▁high,▁high,19,0.06411316325622372
ated,ated,18,0.057725531268295646
▁he,▁he,17,0.047649984816503045
▁of,▁of,16,0.045204884819218485
astic,astic,14,0.04111982902583137
▁models,▁models,15,0.039079156762829206
el,el,13,0.03593694483925036
ero,ero,12,0.03390755770252207
▁a,▁a,11,0.031325115495497234
ing,ing,10,0.029780548545786413
▁construct,▁construct,9,0.02767166822693053
▁when,▁when,8,0.025912784820019855
ed,ed,7,0.024758578800769728
▁obey,▁obey,6,0.023208146286581594
▁be,▁be,5,0.021625615623312885
▁must,▁must,4,0.019630234015187438
▁laws,▁laws,3,0.019028052132858242
▁similarity,▁similarity,2,0.017319688714442543
▁What,▁What,1,0.013538922358102952
