token,display_token,position,importance_score
astic,astic,9,0.004621880086238862
el,el,8,0.004517034745140204
.,.,11,0.004459067822710444
▁testing,▁testing,10,0.004421392664389694
ermo,ermo,7,0.004401425754328547
ature,ature,100,0.004325195687905572
astic,astic,73,0.0042828834762122635
astic,astic,83,0.004241628931054025
▁problem,▁problem,74,0.004213511181941662
",",",",57,0.004193880954176946
ermo,ermo,71,0.004177708029704138
oth,oth,6,0.004170178935003931
▁the,▁the,67,0.004133525372707945
▁parameter,▁parameter,150,0.004129845844889037
▁combined,▁combined,68,0.0041186946847575345
ermo,ermo,81,0.004109541601906109
▁and,▁and,58,0.004097507017495116
▁parameter,▁parameter,146,0.004095894341999982
ction,ction,145,0.004044972695422961
▁and,▁and,147,0.0040336561672668055
",",",",103,0.0040328586940019465
▁problems,▁problems,63,0.004027799856390877
▁aer,▁aer,69,0.004025489832433063
el,el,72,0.004015271474070879
",",",",50,0.004008588309456126
▁a,▁a,92,0.004002771146541055
ction,ction,53,0.003995006640841851
lection,lection,62,0.003977145116687203
▁aer,▁aer,79,0.003971422288085632
▁model,▁model,84,0.003966283266979867
-,-,98,0.003965489470997326
▁up,▁up,66,0.003954472945622885
▁tunnel,▁tunnel,102,0.003942638004583305
▁to,▁to,54,0.003937907143699349
▁is,▁is,89,0.003917864050344337
▁aer,▁aer,5,0.0039136926620874455
▁for,▁for,4,0.003906722401173129
oth,oth,70,0.003903124389113871
ation,ation,97,0.0039021202990558905
▁number,▁number,137,0.003894068634045375
▁wind,▁wind,101,0.003888838101421782
▁in,▁in,91,0.003887662921695183
oth,oth,80,0.0038865878401031
▁the,▁the,43,0.003882581425911895
▁which,▁which,64,0.0038783406756285645
▁equations,▁equations,41,0.003868295038487234
▁the,▁the,55,0.003865223374246414
▁of,▁of,42,0.003864670383014692
",",",",85,0.003863544814396493
▁the,▁the,87,0.003855288180175577
▁placed,▁placed,90,0.0038517787740706415
ynamic,ynamic,48,0.0038470226386552644
▁where,▁where,86,0.0038425904932980134
▁interior,▁interior,56,0.00383814244000419
▁make,▁make,65,0.0038373058086058785
▁the,▁the,77,0.0038227599043981525
▁individual,▁individual,44,0.0038214065453163137
▁flow,▁flow,49,0.0038108435760005766
-,-,94,0.003801349796172387
el,el,82,0.003794283067775265
▁parameter,▁parameter,142,0.003788583022259106
temper,temper,99,0.003785821146905042
▁for,▁for,115,0.003783096929950926
▁aer,▁aer,46,0.003780276832019011
▁laws,▁laws,3,0.0037801385089248204
▁the,▁the,37,0.003776722804597453
-,-,60,0.003775765182005831
▁model,▁model,88,0.003768761391108002
▁stress,▁stress,59,0.0037684630366947775
▁by,▁by,31,0.0037574954406677627
▁are,▁are,29,0.003750591947049654
ning,ning,40,0.0037440241401860853
▁high,▁high,93,0.0037398842578901465
▁a,▁a,116,0.0037360222890439
▁expansion,▁expansion,149,0.003735048016302249
astic,astic,141,0.0037348418137012223
▁appropriate,▁appropriate,38,0.0037231912334698
▁a,▁a,138,0.0037222737350203912
ensional,ensional,36,0.00370053745700667
▁For,▁For,76,0.0036996923820806537
def,def,61,0.00369578412337278
.,.,151,0.003688692358887563
▁general,▁general,78,0.0036880649310404756
▁external,▁external,45,0.0036858017279860975
astic,astic,20,0.0036833731772731963
▁These,▁These,28,0.0036785197981976533
▁n,▁n,33,0.0036726924138373264
▁number,▁number,133,0.0036700772806360984
▁than,▁than,120,0.00366718176531333
▁achieve,▁achieve,114,0.003662884234694904
.,.,75,0.003662809936194508
▁conflict,▁conflict,159,0.003662259484768862
▁obtained,▁obtained,30,0.0036621770760648775
▁making,▁making,32,0.003655041895078903
im,im,35,0.003643674433180702
▁heat,▁heat,51,0.0036329891220051487
.,.,122,0.003627950868110407
▁the,▁the,128,0.0036276297351086543
▁difficult,▁difficult,112,0.003623289170179753
▁testing,▁testing,21,0.003615841023428869
▁heat,▁heat,143,0.0036154622191273255
▁thermal,▁thermal,148,0.00360229681122108
od,od,47,0.003594348222534272
el,el,19,0.0035877469145123757
▁to,▁to,113,0.0035836050203383995
ermo,ermo,18,0.0035814150063303153
▁between,▁between,127,0.0035804827341574187
st,st,95,0.003579973958355291
▁unity,▁unity,121,0.003574595233713923
ond,ond,34,0.003574391618899636
.,.,27,0.0035454110484431554
▁ratio,▁ratio,118,0.003533480972202786
▁the,▁the,25,0.0035315867338778155
▁range,▁range,26,0.0035314919526089257
ity,ity,2,0.0035309060544765733
▁this,▁this,157,0.0035286264873952197
▁occurs,▁occurs,126,0.0035216527962546613
▁be,▁be,110,0.0035215407392829457
▁for,▁for,15,0.0035126636907025373
▁are,▁are,22,0.003505991641171604
▁basic,▁basic,158,0.0035016302299391354
▁surfaces,▁surfaces,189,0.003492043531132341
▁very,▁very,111,0.0034913292139970836
▁The,▁The,123,0.0034811026731708552
",",",",194,0.0034796591037739924
▁gover,▁gover,39,0.003479377982113107
▁condu,▁condu,52,0.003477908487497605
▁in,▁in,24,0.003476345034782933
▁other,▁other,119,0.003467466793392819
▁scale,▁scale,117,0.0034664320203678196
▁aer,▁aer,16,0.0034579297948284424
▁to,▁to,109,0.0034566034230647524
",",",",190,0.0034555283517734695
stream,stream,131,0.0034516159018343853
oth,oth,17,0.003449302972105744
ero,ero,139,0.0034482574283527436
▁conflict,▁conflict,125,0.003427658543987967
agn,agn,96,0.0034259790553328043
▁sim,▁sim,104,0.003419005886283399
▁is,▁is,107,0.0034185743340256133
olds,olds,136,0.0034129787842600914
el,el,140,0.0033981911501926015
",",",",174,0.003397249525966534
▁with,▁with,156,0.0033909183813087213
itude,itude,106,0.003378210080869443
),),167,0.0033774913275801885
▁presented,▁presented,23,0.0033717975450795676
▁primary,▁primary,124,0.0033638397642417267
▁re,▁re,134,0.0033636554243554545
▁shown,▁shown,108,0.0033519618879255418
▁include,▁include,164,0.0033495397707666488
▁laws,▁laws,14,0.0033402178695266294
ized,ized,172,0.003337841533952226
▁condu,▁condu,144,0.003335405300296342
-,-,130,0.003329087196186345
il,il,105,0.0033220185315786213
astic,astic,201,0.0033114048567187554
▁are,▁are,160,0.003302830667124412
▁The,▁The,12,0.0032956665157389538
.,.,162,0.0032931971417007634
▁situations,▁situations,173,0.0032909256556264625
▁similarity,▁similarity,13,0.00328894794149056
▁These,▁These,163,0.0032824494251142543
▁as,▁as,176,0.003268451662609993
▁of,▁of,154,0.003258405667920446
",",",",209,0.0032540705352047702
▁at,▁at,169,0.0032444627049144797
▁and,▁and,191,0.0032304400099610947
▁more,▁more,170,0.0032170370589677823
ive,ive,207,0.003208511573400302
▁forms,▁forms,208,0.003203268008964825
▁where,▁where,195,0.0031999887010129642
▁special,▁special,171,0.0031951067735210047
▁presented,▁presented,161,0.003193961115291894
▁free,▁free,129,0.0031845876420488993
▁the,▁the,177,0.0031842199731965523
▁the,▁the,196,0.0031785397329297553
▁mach,▁mach,132,0.0031523011574304165
ting,ting,188,0.0031472614115402226
▁flutter,▁flutter,193,0.0031328125382354376
▁dealing,▁dealing,155,0.00311101545987943
