step	layer_0	layer_3	layer_6	layer_9	layer_12	layer_15	layer_18	layer_21	dtw
50	0.9249040059745312	0.8451040610671043	0.8314349457621575	0.8264967760443688	0.8187896317243576	0.8178176547586918	0.8218993833661079	0.8278856761753559	0.8921241787075996
100	0.9529903087019921	0.8639705710113048	0.8220053786039352	0.8080788487195969	0.8013107600808144	0.803238665163517	0.8183511152863503	0.8235268135368824	0.8754572288691997
150	0.9306759762763978	0.8475221145153046	0.8362653321027755	0.8186760482192039	0.812898310571909	0.8126671296358109	0.8294598001241684	0.8383811151981354	0.8923187759518624
200	0.9304829424619675	0.8447820217907429	0.8259989830851555	0.8140072651207447	0.8062780790030957	0.8090761175751686	0.8166358867287635	0.816251436918974	0.8739775408804417
250	0.9076260349899531	0.8331721688807011	0.812977420091629	0.8016797938942909	0.7930560201406479	0.7935369211435318	0.8056034477055073	0.8085646559298039	0.8883208660781383
300	0.8730232766270638	0.8133261275291442	0.8111100137233734	0.7989763157069683	0.7945709981024265	0.7991636122763157	0.8042222206294537	0.8104756499826908	0.8874146592617035
350	0.9224538183212281	0.8432386507093906	0.8213695323467255	0.81161602512002	0.8060510417819023	0.8089367747306824	0.8256719328463078	0.8355781817436219	0.8759122970700264
400	0.8967068129777909	0.8326945242285728	0.8203987336158752	0.8079455290734768	0.8063011440634728	0.8057226064801216	0.8220840072631836	0.8282859410345554	0.8823377645015716
450	0.900652937144041	0.8351544044911862	0.8158054322004318	0.8058722968399524	0.79786103323102	0.8037305854260921	0.8140726538002491	0.8151373524963855	0.8727617336809635
500	0.871710359081626	0.824084099829197	0.8251626960933208	0.8117212955653668	0.8090869913995266	0.8142004685103893	0.8233496537804603	0.8242114439606667	0.8777043993771076
550	0.9504643115401268	0.8455253347754479	0.8093331107497215	0.7870846946537494	0.7851739065349101	0.790926772505045	0.8075767140090465	0.8198444423079491	0.9151914082467556
600	0.9260098426043988	0.8557672899961472	0.8220528854429722	0.801177809536457	0.7906421723961831	0.7862825338542462	0.8063039034605026	0.8157802131772042	0.9131850688159466
650	0.8879355050623416	0.8363979433476925	0.8252418671548366	0.8225564730167388	0.8157242265343666	0.8203041926026344	0.8254889056086541	0.8288368792831897	0.8508119669556617
700	0.8682307949662209	0.8398566800355911	0.8173513627052307	0.8035785476863384	0.7929535272717476	0.7953923313319683	0.8025433667004108	0.8089667484164238	0.8945487597584725
750	0.9051151888072491	0.8472753670811654	0.8314686846733094	0.8181832067668438	0.8077910320460796	0.8083824062347412	0.8186044888198376	0.8236217933893204	0.860665974766016
800	0.9076888445019722	0.8415685172379017	0.8140477314591408	0.7951223632693291	0.7929830056428909	0.800054164081812	0.8119719150662422	0.8207509668171405	0.9060130262374878
850	0.9167697777599096	0.8451578523218631	0.813379720300436	0.8000627365708352	0.7936221452057362	0.7972643235325814	0.8135678498446941	0.8243677233159542	0.8841780956089497
900	0.9158906878530979	0.8455491068959237	0.8176134580373764	0.8097051984071731	0.8012323944270611	0.7997134429216385	0.8178290829062462	0.8253107500076294	0.8958678761124611
950	0.8783453759551049	0.8323688437044621	0.8142572043836117	0.8003538058698177	0.7886664929986	0.7970580975711345	0.8105423276126384	0.8220243903994561	0.9188606597483158
1000	0.9091164598613978	0.829681726694107	0.7979265341162681	0.7883761118352414	0.7871244584023952	0.7928965996205807	0.8066384412348271	0.8224729292094708	0.9468114051222801
1050	0.9232114483416081	0.8439852911233902	0.8309653699398041	0.8261815929412841	0.8184967997670174	0.8175669443607331	0.8214896307885646	0.8274027448892594	0.8898538352549076
1100	0.9510571956634521	0.8632069392502308	0.8213982456922531	0.8076562874019146	0.8009925447404385	0.8029382526874542	0.8179779039323329	0.8231523309648037	0.8736201830208301
